IsChecked;Фраза;Источник;Дата добавления;Частотность [WS];Частотность * * [WS];Частотность *!* [WS];Сезонность [WS];Корректность словоформы [SG];Частотность (первая) [RA];Частотность (все) [RA];Конкуренция в ПС Яндекс [KEI];Конкуренция в ПС Google [KEI];Кол-во главных страниц в ПС Яндекс [KEI];Кол-во главных страниц в ПС Google [KEI];Кол-во вхождений в заголовок в ПС Яндекс [KEI];Кол-во вхождений в заголовок в ПС Google [KEI];Рел. страница в ПС Яндекс;Рел. страница в ПС Google;Позиция в ПС Яндекс;Страница в ПС Яндекс;Позиция в ПС Google;Страница в ПС Google
True;ремонт пневмоподвески санкт петербург;YandexWordstatLeftColumn;07.06.2018 21:42;13;;;;;;;;;;;;;;;;;;
True;ремонт пневмоподвески w211 в спб;YandexWordstatLeftColumn;07.06.2018 21:42;11;;;;;;;;;;;;;;;;;;
True;ремонт пневмоподвески васильевский остров;YandexWordstatLeftColumn;07.06.2018 21:42;10;;;;;;;;;;;;;;;;;;
True;диагностика пневмоподвески;YandexWordstatLeftColumn;07.06.2018 21:53;30;;;;;;;;;;;;;;;;;;
True;калибровка пневмоподвески;YandexWordstatLeftColumn;07.06.2018 21:53;143;;;;;;;;;;;;;;;;;;
True;калибровка пневмоподвески лексус;YandexWordstatLeftColumn;07.06.2018 21:53;36;;;;;;;;;;;;;;;;;;
True;калибровка пневмоподвески лексус ls460;YandexWordstatLeftColumn;07.06.2018 21:53;36;;;;;;;;;;;;;;;;;;
True;калибровка пневмоподвески лексус ls460 лаунчер;YandexWordstatLeftColumn;07.06.2018 21:53;33;;;;;;;;;;;;;;;;;;
True;калибровка пневмоподвески рендж ровер;YandexWordstatLeftColumn;07.06.2018 21:53;18;;;;;;;;;;;;;;;;;;
True;ремонт амортизаторов санкт петербург;YandexWordstatLeftColumn;07.06.2018 21:52;19;;;;;;;;;;;;;;;;;;
True;ремонт амортизаторов петербург;YandexWordstatLeftColumn;07.06.2018 21:52;19;;;;;;;;;;;;;;;;;;
True;ремонт амортизаторов автомобиля;YandexWordstatLeftColumn;07.06.2018 21:52;16;;;;;;;;;;;;;;;;;;
True;ремонт амортизаторов kyb;YandexWordstatLeftColumn;07.06.2018 21:52;16;;;;;;;;;;;;;;;;;;
True;ремонт восстановление амортизаторов;YandexWordstatLeftColumn;07.06.2018 21:52;13;;;;;;;;;;;;;;;;;;
True;ремонт заправка газовых амортизаторов спб;YandexWordstatLeftColumn;07.06.2018 21:52;13;;;;;;;;;;;;;;;;;;
True;ремонт амортизатора вилки велосипеда;YandexWordstatLeftColumn;07.06.2018 21:52;12;;;;;;;;;;;;;;;;;;
True;ремонт стоек амортизаторов спб;YandexWordstatLeftColumn;07.06.2018 21:52;12;;;;;;;;;;;;;;;;;;
True;ремонт амортизаторов бмв;YandexWordstatLeftColumn;07.06.2018 21:52;11;;;;;;;;;;;;;;;;;;
True;ремонт амортизаторов субару;YandexWordstatLeftColumn;07.06.2018 21:52;11;;;;;;;;;;;;;;;;;;
True;ремонт амортизаторов мерседес;YandexWordstatLeftColumn;07.06.2018 21:52;10;;;;;;;;;;;;;;;;;;
True;ремонт амортизаторов ohlins;YandexWordstatLeftColumn;07.06.2018 21:52;10;;;;;;;;;;;;;;;;;;
True;ремонт амортизатора showa;YandexWordstatLeftColumn;07.06.2018 21:52;10;;;;;;;;;;;;;;;;;;
True;ремонт амортизатор форд;YandexWordstatLeftColumn;07.06.2018 21:52;10;;;;;;;;;;;;;;;;;;
True;ремонт амортизаторов bmw;YandexWordstatLeftColumn;07.06.2018 21:52;10;;;;;;;;;;;;;;;;;;
True;амортизатор туарег ремонт;YandexWordstatLeftColumn;07.06.2018 21:52;10;;;;;;;;;;;;;;;;;;
